OrderID,OrderDate,Region,Category,SubCategory,Customer,Quantity,Sales,Discount,Profit,RepeatCustomer
1000,2025-05-06,North,Furniture,Bookcases,Customer_014,2,392.14,0.15,51.82,Yes
1001,2025-10-15,South,Office Supplies,Binders,Customer_001,4,192.66,0.1,34.21,No
1002,2025-06-24,South,Office Supplies,Envelopes,Customer_023,2,130.75,0,18.96,Yes
1003,2025-10-02,East,Furniture,Storage,Customer_037,5,797.0,0.2,130.47,No
1004,2025-01-24,South,Office Supplies,Binders,Customer_054,4,331.34,0,48.05,Yes
1005,2025-07-01,East,Furniture,Bookcases,Customer_016,2,415.68,0.15,73.76,No
1006,2025-05-19,South,Technology,Copiers,Customer_021,6,3339.0,0,358.15,Yes
1007,2025-04-19,West,Technology,Phones,Customer_042,4,1236.0,0.2,172.85,No
1008,2025-03-13,West,Furniture,Bookcases,Customer_009,7,947.52,0.15,120.69,Yes
1009,2025-02-26,West,Furniture,Chairs,Customer_034,2,207.32,0.1,27.13,No
1010,2025-12-15,East,Office Supplies,Binders,Customer_011,5,249.0,0.2,26.9,Yes
1011,2025-09-14,West,Furniture,Bookcases,Customer_024,5,1547.72,0.2,219.05,Yes
1012,2025-11-03,South,Office Supplies,Binders,Customer_006,5,392.08,0,25.28,No
1013,2025-02-05,North,Office Supplies,Envelopes,Customer_039,8,115.46,0.15,8.96,Yes
1014,2025-06-09,West,Furniture,Tables,Customer_002,8,1494.88,0,167.39,Yes
1015,2025-01-04,South,Office Supplies,Paper,Customer_043,1,23.28,0,1.58,Yes
1016,2025-10-20,West,Furniture,Tables,Customer_023,7,1727.32,0,127.1,No
1017,2025-01-28,West,Technology,Copiers,Customer_016,7,3585.96,0.2,386.78,No
1018,2025-03-13,South,Furniture,Storage,Customer_007,2,628.69,0.1,142.59,No
1019,2025-02-17,North,Office Supplies,Binders,Customer_004,8,139.79,0.1,13.01,Yes
1020,2025-07-19,South,Technology,Phones,Customer_036,7,4689.69,0.2,1085.49,No
1021,2025-06-01,West,Furniture,Tables,Customer_031,1,125.58,0.2,12.9,Yes
1022,2025-04-06,South,Furniture,Chairs,Customer_038,7,849.89,0,242.56,No
1023,2025-08-03,North,Office Supplies,Binders,Customer_017,5,143.64,0,31.23,Yes
1024,2025-08-23,West,Furniture,Bookcases,Customer_005,8,1270.94,0.15,323.67,No
1025,2025-03-09,South,Office Supplies,Labels,Customer_046,6,446.96,0,39.97,No
1026,2025-12-08,East,Office Supplies,Binders,Customer_036,3,180.69,0,14.25,Yes
1027,2025-11-06,South,Technology,Machines,Customer_055,5,1612.59,0.15,235.94,No
1028,2025-05-22,North,Furniture,Storage,Customer_028,5,514.63,0,121.1,No
1029,2025-12-20,North,Furniture,Chairs,Customer_058,3,1650.13,0.1,121.57,Yes
1030,2025-12-16,North,Technology,Accessories,Customer_016,7,889.67,0.15,179.5,No
1031,2025-01-13,South,Furniture,Storage,Customer_018,7,1273.52,0.2,271.02,No
1032,2025-07-15,South,Office Supplies,Binders,Customer_015,8,182.13,0,23.0,No
1033,2025-07-24,South,Furniture,Tables,Customer_054,5,1316.16,0,276.88,Yes
1034,2025-05-14,East,Furniture,Chairs,Customer_021,2,380.28,0.15,51.28,No
1035,2025-07-17,West,Office Supplies,Binders,Customer_044,7,37.9,0,6.82,No
1036,2025-02-05,South,Technology,Copiers,Customer_043,2,1555.21,0.2,342.16,No
1037,2025-12-23,West,Technology,Copiers,Customer_037,7,661.87,0.2,125.51,Yes
1038,2025-06-05,East,Technology,Phones,Customer_033,6,2457.95,0.1,354.93,No
1039,2025-12-04,West,Office Supplies,Paper,Customer_044,6,204.64,0,52.1,No
1040,2025-03-17,East,Furniture,Tables,Customer_013,2,203.94,0.1,28.19,No
